id,source,target,type
e15.709962215712386,n0,n0,arrow
e20.24480309614481,n0,n0,arrow
e30.85556535285705,n0,n0,arrow
e10.276076983712368,n0,n0,arrow
e6.497015001174754,n0,n0,arrow
e18.7377266437571,n0,n0,arrow
e24.40340573874884,n0,n0,arrow
e8.840121034562399,n0,n0,arrow
e4.104585994172423,n0,n0,arrow
e5.894888237230478,n0,n0,arrow
e28.52698915130705,n0,n0,arrow
e26.550510855202482,n0,n5,arrow
e19.207526489190798,n0,n0,arrow
e2.3319337292110776,n0,n0,arrow
e13.409875007454616,n0,n0,arrow
e2.6961330163183623,n0,n0,arrow
e3.398391209551492,n0,n0,arrow
e23.22077924880728,n0,n0,arrow
e6.856246732260436,n0,n0,arrow
e1.412434988901981,n0,n0,arrow
e35.85202912193984,n0,n0,arrow
e8.066421766202087,n0,n0,arrow
e5.200376948171413,n0,n0,arrow
e10.352995900954825,n0,n0,arrow
e13.196511046305393,n0,n0,arrow
e22.519055509283437,n0,n0,arrow
e2.440331417094688,n0,n0,arrow
e18.019150261172364,n0,n0,arrow
e10.966922617722137,n0,n6,arrow
e6.879061335312171,n0,n0,arrow
e9.531024493962319,n0,n0,arrow
e18.183069722284255,n0,n0,arrow
e9.355808220484876,n0,n0,arrow
e19.888651474495525,n0,n0,arrow
e34.81000893582724,n0,n0,arrow
e17.94977967102426,n0,n0,arrow
e29.219909283285826,n0,n7,arrow
e3.7111534370212387,n0,n0,arrow
e16.578700036124005,n0,n0,arrow
e15.935375499509995,n0,n0,arrow
e7.428901687423062,n0,n8,arrow
e1.8843537727156516,n0,n0,arrow
e26.465591474085794,n0,n0,arrow
e29.13214164523061,n0,n0,arrow
e34.47697350374558,n0,n0,arrow
e35.71864609496641,n0,n0,arrow
e20.809579770644433,n0,n0,arrow
e3.940127711337049,n0,n0,arrow
e36.95396433983954,n0,n0,arrow
e31.624223648896372,n0,n9,arrow
e36.04528601903623,n0,n0,arrow
e25.4560456937702,n0,n0,arrow
e35.18045041111636,n0,n0,arrow
e35.218696165191496,n0,n0,arrow
e2.780018701968052,n0,n0,arrow
e25.687004212614738,n0,n0,arrow
e27.425233506186974,n0,n0,arrow
e20.7397455894318,n0,n0,arrow
e34.87212516697164,n0,n0,arrow
e8.747983747622202,n0,n0,arrow
e30.04502759552368,n0,n0,arrow
e16.630306224009217,n0,n0,arrow
e10.300210740092513,n0,n0,arrow
e25.95165074202526,n0,n0,arrow
e14.545460999860028,n0,n0,arrow
e21.70661542351756,n0,n0,arrow
e13.309596721957865,n0,n0,arrow
e23.484487708957804,n0,n0,arrow
e5.047622333573228,n0,n0,arrow
e19.5027208405098,n0,n0,arrow
e12.702682670527103,n0,n0,arrow
e1.4154348849799308,n0,n0,arrow
e13.143559462877525,n0,n0,arrow
e10.722081925303055,n0,n0,arrow
e2.6077047719906696,n0,n0,arrow
e20.83709427875986,n0,n0,arrow
e19.430410868492295,n0,n0,arrow
e1.7971389226505674,n0,n0,arrow
e7.0760735489648265,n0,n0,arrow
e8.947458734187238,n0,n0,arrow
e5.629720126800273,n0,n0,arrow
e8.095099004284029,n0,n0,arrow
e17.076541995277815,n0,n0,arrow
e2.502636110196617,n0,n0,arrow
e26.59051660045501,n0,n0,arrow
e13.4037557384579,n0,n0,arrow
e0.12120076370173138,n0,n0,arrow
e10.106449884894497,n0,n0,arrow
e18.755814633634326,n0,n0,arrow
e20.20766327055957,n0,n0,arrow
e19.72403917678292,n0,n0,arrow
e6.638026086666119,n0,n0,arrow
e32.140695205928736,n0,n0,arrow
e13.928592098909455,n0,n0,arrow
e36.090670771179944,n0,n0,arrow
e33.65390293298723,n0,n0,arrow
e25.50734446940271,n0,n0,arrow
e6.412022755284713,n0,n0,arrow
e9.336629579769046,n0,n0,arrow
e4.2384314664290335,n0,n0,arrow
e27.58782393388891,n0,n0,arrow
e18.81719872558981,n0,n0,arrow
e22.07615350347337,n0,n0,arrow
e34.37690823985392,n0,n0,arrow
e19.552421365487877,n0,n0,arrow
e35.93329168897145,n0,n0,arrow
e14.098929389146633,n0,n0,arrow
e19.085700174544602,n0,n0,arrow
e32.202194451133366,n0,n0,arrow
e12.33326325505921,n0,n0,arrow
e16.76836196489029,n0,n0,arrow
e8.912389939205601,n0,n0,arrow
e9.521349535366797,n0,n0,arrow
e32.55106896466486,n0,n0,arrow
e22.351400345170262,n0,n0,arrow
e20.181859325625133,n0,n0,arrow
e18.699085568316757,n0,n0,arrow
e11.275943344937119,n0,n0,arrow
e11.996470009808771,n0,n0,arrow
e3.001474365103343,n0,n0,arrow
e30.80402789592379,n0,n0,arrow
e24.500506372125663,n0,n0,arrow
e33.050203227860926,n0,n0,arrow
e33.6217945560582,n0,n0,arrow
e12.706308925009804,n0,n0,arrow
e2.754472192817375,n0,n0,arrow
e12.777999419001707,n0,n0,arrow
e7.007160336955367,n0,n0,arrow
e35.62583459800014,n0,n0,arrow
e26.837410262077558,n0,n0,arrow
e28.88385867749344,n0,n0,arrow
e33.20790418494446,n0,n0,arrow
e19.867442215912803,n0,n0,arrow
e1.0873034871173868,n0,n0,arrow
e31.856955568008207,n0,n0,arrow
e23.086574862469945,n0,n0,arrow
e9.9941206197053,n0,n0,arrow
e13.218621188969355,n0,n0,arrow
e18.087949082824615,n0,n0,arrow
e28.90801902783566,n0,n0,arrow
e35.73443126524996,n0,n0,arrow
e19.726459816334636,n0,n0,arrow
e36.22277401004562,n0,n0,arrow
e16.280820334854486,n0,n0,arrow
e20.984666094729782,n0,n0,arrow
e9.338525580943418,n0,n0,arrow
e10.660729192006665,n0,n0,arrow
e22.684026394129702,n0,n0,arrow
e16.851611749412623,n0,n0,arrow
e0.8303634292426969,n0,n0,arrow
e35.80882599197287,n0,n0,arrow
e17.33399887217252,n0,n0,arrow
e18.74782303048285,n0,n0,arrow
e25.84479067270866,n0,n0,arrow
e33.79281185652656,n0,n0,arrow
e4.103390230238867,n0,n0,arrow
e1.06878429580147,n0,n0,arrow
e11.524884371628815,n0,n0,arrow
e14.736272001659614,n0,n0,arrow
e8.432584458789375,n0,n0,arrow
e34.93339939289248,n0,n0,arrow
e7.650172526446251,n0,n0,arrow
e2.58319355852482,n0,n0,arrow
e32.42070762612052,n0,n0,arrow
e8.507777316415453,n0,n0,arrow
e2.4821895339030524,n0,n0,arrow
e27.504354655618492,n0,n0,arrow
e14.737821962618309,n0,n0,arrow
e16.784718838045805,n0,n0,arrow
e7.841151024304608,n0,n0,arrow
e11.55501021488093,n0,n0,arrow
e6.473452199948249,n0,n0,arrow
e14.529081870439478,n0,n0,arrow
e32.28600366054689,n0,n0,arrow
e19.966737189001336,n0,n0,arrow
e21.952095855555214,n0,n0,arrow
e26.111009240708317,n0,n0,arrow
e27.271901735986773,n0,n0,arrow
e15.055307675931061,n0,n0,arrow
e3.5574628900954046,n0,n0,arrow
e3.890299757350867,n0,n0,arrow
e34.67588681767908,n0,n0,arrow
e5.347036543483215,n0,n0,arrow
e29.95805540171632,n0,n0,arrow
e36.802170405831276,n0,n0,arrow
e2.3088754075274083,n0,n0,arrow
e10.148549800059293,n0,n0,arrow
e20.251955499776333,n0,n0,arrow
e9.037351698172671,n0,n0,arrow
e31.0027434940762,n0,n0,arrow
e28.04659764217194,n0,n0,arrow
e14.300356160308144,n0,n0,arrow
e0.3662471851153797,n0,n0,arrow
e11.685720325752943,n0,n0,arrow
e25.973086361808377,n0,n0,arrow
e33.58940274302542,n0,n0,arrow
e5.4428939069284095,n0,n0,arrow
e11.054578278974446,n0,n0,arrow
e2.482735195110392,n0,n0,arrow
e19.833671607364945,n0,n0,arrow
e13.586770233245462,n0,n0,arrow
e11.752565076233514,n0,n0,arrow
e14.52521503753377,n0,n0,arrow
e5.020230007967265,n0,n0,arrow
e32.69691156654533,n0,n0,arrow
e3.2553123792629846,n0,n0,arrow
e27.42437277461249,n0,n0,arrow
e4.23443474247933,n0,n0,arrow
e0.17059259799852833,n0,n0,arrow
e25.140902539786435,n0,n0,arrow
e24.209033922379163,n0,n0,arrow
e20.14843206324374,n0,n0,arrow
e24.7321260561428,n0,n0,arrow
e3.248066791320068,n0,n0,arrow
e36.05195709876704,n0,n0,arrow
e0.6039183533945283,n0,n0,arrow
e28.858339840785185,n0,n0,arrow
e12.303073320979712,n0,n0,arrow
e34.16466303796166,n0,n0,arrow
e29.949297450679346,n0,n0,arrow
e35.46528767697836,n0,n0,arrow
e24.994030614502776,n0,n0,arrow
e20.124249081120233,n0,n0,arrow
e13.538130009373225,n0,n0,arrow
e1.6510342066002235,n0,n0,arrow
e26.591914991481246,n0,n0,arrow
e15.666368904277967,n0,n0,arrow
e4.15939020912137,n0,n0,arrow
e34.75760814175515,n0,n0,arrow
e21.11219614925872,n0,n0,arrow
e33.63321287144852,n0,n0,arrow
e18.90939068909987,n0,n0,arrow
e25.39212849409566,n0,n0,arrow
e12.459718207834541,n0,n0,arrow
e0.6006080976187831,n0,n0,arrow
e17.25073029458492,n0,n0,arrow
e18.410190084966835,n0,n0,arrow
e3.3024614787984863,n0,n0,arrow
e12.316741780619171,n0,n0,arrow
e27.17313381922339,n0,n0,arrow
e15.735860063543393,n0,n0,arrow
e4.130359626492011,n0,n0,arrow
e4.771645182443049,n0,n0,arrow
e25.343329541116105,n0,n0,arrow
e3.069741781113569,n0,n0,arrow
e29.923327996260944,n0,n0,arrow
e20.08903141258155,n0,n0,arrow
e32.16504028647528,n0,n0,arrow
e30.697170556338023,n0,n0,arrow
e29.10210759563515,n0,n0,arrow
e32.75755148382095,n0,n0,arrow
e22.861589504510604,n0,n0,arrow
e26.475072588843442,n0,n0,arrow
e19.158749273624345,n0,n0,arrow
e1.265443132452104,n0,n0,arrow
e14.745407812619192,n0,n0,arrow
e15.473963259589446,n0,n0,arrow
e34.61816545030496,n0,n0,arrow
e7.164469540232834,n0,n0,arrow
e5.279008657392334,n0,n0,arrow
e0.1015439751588374,n0,n0,arrow
e7.540108582394739,n0,n0,arrow
e15.036015543014356,n0,n0,arrow
e32.2051155912413,n0,n0,arrow
e9.818180929567074,n0,n0,arrow
e21.999213759989615,n0,n0,arrow
e7.78406578124449,n0,n0,arrow
e25.384555376403025,n0,n0,arrow
e7.748554214112048,n0,n0,arrow
e21.0834010400162,n0,n0,arrow
e21.98639650649325,n0,n0,arrow
e20.270647541581692,n0,n0,arrow
e26.50113381366648,n0,n0,arrow
e5.412951009427219,n0,n0,arrow
e18.55570588965448,n0,n0,arrow
e24.51288684378162,n0,n0,arrow
e32.2516297140759,n0,n0,arrow
e6.284677977206425,n0,n0,arrow
e27.73851664543408,n0,n0,arrow
e31.784011096106116,n0,n0,arrow
e33.925070753706365,n0,n0,arrow
e19.337247512133995,n0,n0,arrow
e5.910514116752422,n0,n0,arrow
e32.22240077138975,n0,n0,arrow
e14.014449113533658,n0,n0,arrow
e0.04744530531247815,n0,n0,arrow
e14.316406196547419,n0,n0,arrow
e12.247443669704872,n0,n0,arrow
e1.08251750576586,n0,n0,arrow
e7.113748515571151,n0,n0,arrow
e10.65598157271212,n0,n0,arrow
e12.906786580787472,n0,n0,arrow
e32.74000375668362,n0,n0,arrow
e9.647615844879851,n0,n0,arrow
e33.04156457323411,n0,n0,arrow
e33.99060205190827,n0,n0,arrow
e2.269193017071414,n0,n0,arrow
e33.54535882173392,n0,n0,arrow
e8.074413042847574,n0,n0,arrow
e28.975697124580744,n0,n0,arrow
e32.422837437191205,n0,n0,arrow
e11.427419573070136,n0,n0,arrow
e21.80867729608708,n0,n0,arrow
e10.453025457111588,n0,n0,arrow
e5.799423163285082,n0,n0,arrow
e5.015470932105756,n0,n0,arrow
e11.055444167096297,n0,n0,arrow
e16.543980789427,n0,n0,arrow
e13.423940981785762,n0,n0,arrow
e28.349386978727306,n0,n0,arrow
e34.40792599433136,n0,n0,arrow
e17.359346786464968,n0,n0,arrow
e35.80494678555747,n0,n0,arrow
e31.237608767716736,n0,n0,arrow
e20.741982552983554,n0,n0,arrow
e25.653038343457176,n0,n0,arrow
e18.669711882078563,n0,n0,arrow
e34.484859105390285,n0,n0,arrow
e25.439173874255918,n0,n0,arrow
e30.18493412132285,n0,n0,arrow
e34.93091277279916,n0,n0,arrow
e31.764445183848796,n0,n0,arrow
e20.2191113782135,n0,n0,arrow
e18.22803951384983,n0,n0,arrow
e25.629973196504903,n0,n0,arrow
e23.552680561007683,n0,n0,arrow
e32.6459520080284,n0,n0,arrow
e22.93260651569034,n0,n0,arrow
e16.98241653850668,n0,n0,arrow
e7.085893344929167,n0,n0,arrow
e9.331680833650987,n0,n0,arrow
e20.89549437660345,n0,n0,arrow
e17.898469577866038,n0,n0,arrow
e16.347697646361684,n0,n0,arrow
e3.697981919181106,n0,n0,arrow
e18.416050510953177,n0,n0,arrow
e0.34718632349822465,n0,n0,arrow
e35.22233848073936,n0,n0,arrow
e10.55137937535354,n0,n0,arrow
e23.612124413984965,n0,n0,arrow
e35.45912244590873,n0,n0,arrow
e0.9727686055061464,n0,n0,arrow
e15.192959422817065,n0,n0,arrow
e30.27928524654832,n0,n0,arrow
e23.840960319417917,n0,n0,arrow
e23.00630846397626,n0,n0,arrow
e26.07445277514794,n0,n0,arrow
e14.903556673215348,n0,n0,arrow
e24.60568197470633,n0,n0,arrow
e23.62572185305925,n0,n0,arrow
e4.050326068975734,n0,n0,arrow
e17.24079531792927,n0,n0,arrow
e34.77594986494705,n0,n0,arrow
e28.289093725836604,n0,n0,arrow
e35.351708518841484,n0,n0,arrow
e25.678888825296685,n0,n0,arrow
e20.81641572141136,n0,n0,arrow
e15.88643212718253,n0,n0,arrow
e16.062260666779597,n0,n0,arrow
e26.608711852127424,n0,n0,arrow
e33.76067543461637,n0,n0,arrow
e22.228225589524712,n0,n0,arrow
e25.217849027546904,n0,n0,arrow
e35.115546314511484,n0,n0,arrow
e8.174093079693831,n0,n0,arrow
e12.996088142830985,n0,n0,arrow
e34.58344528022186,n0,n0,arrow
e29.116616539005324,n0,n0,arrow
e33.33010572952871,n0,n0,arrow
e34.54776355017636,n0,n0,arrow
e28.514065364051287,n0,n0,arrow
e1.7900927327596108,n0,n0,arrow
e25.41333933627729,n0,n0,arrow
e4.872199288447016,n0,n0,arrow
e36.71958765321335,n0,n0,arrow
e33.83352242626609,n0,n0,arrow
e11.036165738593228,n0,n0,arrow
e16.074452682588174,n0,n0,arrow
e2.670722985491705,n0,n0,arrow
e9.505578377491734,n0,n0,arrow
e16.496076403222908,n0,n0,arrow
e9.437017361501601,n0,n0,arrow
e34.28414504938118,n0,n0,arrow
e21.18256074335591,n0,n0,arrow
e36.36285865565168,n0,n0,arrow
e17.214302254662147,n1,n1,arrow
e33.09643922506321,n1,n1,arrow
e16.007313747665055,n1,n1,arrow
e31.149877051481493,n1,n1,arrow
e11.2358386076877,n1,n1,arrow
e33.30726913760241,n1,n1,arrow
e36.840008478877984,n1,n1,arrow
e4.38862326607361,n1,n1,arrow
e9.064769064462148,n1,n1,arrow
e10.675283817302233,n1,n1,arrow
e27.58988317125075,n1,n1,arrow
e24.821533276899874,n1,n1,arrow
e30.17400040247329,n1,n1,arrow
e24.243517081951385,n1,n1,arrow
e3.809710533685187,n1,n1,arrow
e3.9365724288158925,n1,n1,arrow
e28.945276655735412,n1,n1,arrow
e36.87886633694591,n1,n1,arrow
e35.776158826607606,n1,n1,arrow
e33.90415326131717,n1,n1,arrow
e33.61722615128276,n1,n1,arrow
e11.937562133635574,n1,n1,arrow
e36.146079732080686,n1,n1,arrow
e35.2803606170104,n1,n1,arrow
e33.64989815295728,n1,n1,arrow
e21.879801685886978,n1,n1,arrow
e21.707376582424637,n1,n1,arrow
e25.620223952056612,n1,n1,arrow
e24.725634896926884,n1,n1,arrow
e15.944265055935919,n1,n1,arrow
e7.197549646830783,n1,n1,arrow
e36.54678149117747,n1,n1,arrow
e32.927526865489405,n1,n1,arrow
e34.82273740777733,n1,n1,arrow
e10.50433041039975,n1,n1,arrow
e11.13904995706776,n1,n1,arrow
e32.59333884459101,n1,n1,arrow
e1.1025966824230549,n1,n1,arrow
e2.5073730954312667,n1,n1,arrow
e20.63528391520069,n1,n1,arrow
e15.08587898009144,n1,n1,arrow
e22.073095548562748,n1,n1,arrow
e34.559368210656345,n1,n1,arrow
e29.923312432341575,n1,n1,arrow
e14.294923003144316,n1,n1,arrow
e7.981079292632136,n1,n1,arrow
e23.30060540316261,n1,n1,arrow
e29.860250122423672,n1,n1,arrow
e1.4314861029412762,n1,n1,arrow
e16.49359112293414,n1,n1,arrow
e13.369770428529728,n1,n1,arrow
e20.166132046427855,n1,n1,arrow
e27.783316969484044,n1,n1,arrow
e28.32392479585788,n1,n1,arrow
e29.663635738430067,n1,n1,arrow
e1.9144389275150215,n1,n1,arrow
e31.866637775787435,n1,n1,arrow
e27.391144211282985,n1,n1,arrow
e22.423918495508747,n1,n1,arrow
e24.171867205222085,n1,n1,arrow
e30.08245718910225,n1,n1,arrow
e16.069218901406384,n1,n1,arrow
e2.3374257156678953,n1,n1,arrow
e32.59279554599252,n1,n1,arrow
e21.10702667739484,n1,n1,arrow
e1.2298905987480082,n1,n1,arrow
e13.40797399020787,n1,n1,arrow
e20.6228127122183,n1,n1,arrow
e15.374826882582564,n1,n1,arrow
e26.45915899457832,n1,n1,arrow
e2.2931277885890724,n1,n1,arrow
e27.340839481713935,n1,n1,arrow
e0.6872700283844664,n1,n1,arrow
e27.924316321358187,n1,n1,arrow
e9.517249379372984,n1,n1,arrow
e26.020778038803314,n1,n1,arrow
e6.543887837027807,n1,n1,arrow
e34.019858447169185,n1,n1,arrow
e12.100833192618838,n1,n1,arrow
e21.748268670459385,n1,n1,arrow
e11.990647333823375,n1,n1,arrow
e22.6371908600918,n1,n0,arrow
e20.453504749378144,n1,n1,arrow
e30.632325630708515,n1,n1,arrow
e17.679559576131847,n1,n1,arrow
e16.813544793683747,n1,n1,arrow
e33.458618516459694,n1,n1,arrow
e30.230206939382324,n1,n1,arrow
e17.238768748713795,n1,n1,arrow
e30.81255414005993,n1,n1,arrow
e28.294958281833857,n1,n1,arrow
e12.274991668049175,n1,n1,arrow
e8.362177657210927,n1,n1,arrow
e1.480535797973318,n1,n1,arrow
e19.8680592246156,n1,n1,arrow
e0.5066467252637277,n1,n1,arrow
e17.516056119541098,n1,n1,arrow
e6.208555157191262,n1,n1,arrow
e26.592457664136067,n1,n1,arrow
e5.411207365142095,n1,n1,arrow
e28.405292104208236,n1,n1,arrow
e13.236579244261975,n1,n2,arrow
e3.4092555672095286,n1,n1,arrow
e7.011389146950119,n1,n1,arrow
e20.605285483730377,n1,n1,arrow
e32.85658078364977,n1,n1,arrow
e34.56658038886796,n1,n1,arrow
e32.61089190398655,n1,n1,arrow
e2.8182866248120644,n1,n1,arrow
e36.8380487607533,n1,n1,arrow
e32.962757310064426,n1,n1,arrow
e14.189718486137581,n1,n1,arrow
e14.158237797021178,n1,n1,arrow
e9.24438038033554,n1,n1,arrow
e7.4429117758816075,n1,n1,arrow
e22.177081745437796,n1,n1,arrow
e2.9301239876885417,n1,n1,arrow
e18.462652966776812,n1,n1,arrow
e24.517406777443075,n1,n1,arrow
e21.77773039129841,n1,n1,arrow
e35.24889432426517,n1,n1,arrow
e1.995004816881529,n1,n3,arrow
e34.583762092224205,n1,n1,arrow
e16.72525881432508,n1,n1,arrow
e32.77583762222585,n1,n1,arrow
e3.4537717704897855,n1,n1,arrow
e15.52632246937913,n1,n1,arrow
e2.24529062715909,n1,n1,arrow
e1.073899808283884,n1,n1,arrow
e30.257067654095522,n1,n1,arrow
e23.87849956970767,n1,n1,arrow
e35.98342985318118,n1,n1,arrow
e28.60311743572396,n1,n1,arrow
e9.670013419159266,n1,n1,arrow
e13.589385408893438,n1,n1,arrow
e13.47209305323381,n1,n1,arrow
e9.157743881464715,n1,n4,arrow
e4.788201826261809,n1,n1,arrow
e15.064030173401978,n1,n1,arrow
e23.672639471252694,n1,n1,arrow
e10.237063476010645,n1,n1,arrow
e17.150037687040744,n1,n1,arrow
e15.334770118582826,n1,n1,arrow
e6.520023406136769,n1,n1,arrow
e21.97191024862855,n1,n1,arrow
e25.270173684382076,n1,n1,arrow
e19.148259816479285,n1,n1,arrow
e6.453114677750927,n1,n1,arrow
e12.473008672374519,n1,n1,arrow
e9.409993378409816,n1,n1,arrow
e13.047631297418423,n1,n1,arrow
e29.839566737753096,n1,n1,arrow
e12.57396458730275,n1,n1,arrow
e27.63791990332651,n1,n1,arrow
e10.127160605479169,n1,n1,arrow
e1.1347407600409842,n1,n1,arrow
e25.336616587396776,n1,n1,arrow
e5.171698747461863,n1,n1,arrow
e13.560638289682734,n1,n1,arrow
e3.3211444255458615,n1,n1,arrow
e25.089326738579665,n1,n1,arrow
e15.888867048125476,n1,n1,arrow
e32.115094573991,n1,n1,arrow
e34.764096731894774,n1,n1,arrow
e9.93582090897419,n1,n1,arrow
e24.85865657220466,n1,n1,arrow
e5.243517812128884,n1,n1,arrow
e36.09162360562595,n1,n1,arrow
e20.29074330537986,n1,n5,arrow
e25.101230872742878,n1,n1,arrow
e6.357528891935723,n1,n1,arrow
e32.56858321980232,n1,n1,arrow
e24.56333107842941,n1,n1,arrow
e13.433739422309616,n1,n1,arrow
e19.30364830287235,n1,n1,arrow
e30.56935925961174,n1,n1,arrow
e10.966634621540354,n1,n1,arrow
e11.05283029479876,n1,n1,arrow
e14.338575875326153,n1,n1,arrow
e24.649661157815654,n1,n1,arrow
e10.266430116017023,n1,n1,arrow
e23.182154044331764,n1,n1,arrow
e24.645968185331586,n1,n1,arrow
e3.822967007341248,n1,n1,arrow
e35.40868030375632,n1,n1,arrow
e24.21901357412805,n1,n1,arrow
e10.61102025037075,n1,n1,arrow
e36.56874494408859,n1,n1,arrow
e1.6493576169821709,n1,n1,arrow
e4.660801471258777,n1,n1,arrow
e14.493160033981452,n1,n1,arrow
e20.483202496390934,n1,n1,arrow
e27.03188830147697,n1,n1,arrow
e17.783393126832053,n1,n1,arrow
e11.588124727419688,n1,n1,arrow
e26.34269034284933,n1,n1,arrow
e23.267818448657962,n1,n1,arrow
e27.04993036449677,n1,n1,arrow
e18.011020305760695,n1,n1,arrow
e18.1270699745597,n1,n1,arrow
e14.421004389626676,n1,n1,arrow
e13.700611691951593,n1,n1,arrow
e12.575547164828235,n1,n1,arrow
e2.7562958087989515,n1,n1,arrow
e3.456667099307254,n1,n1,arrow
e25.544406578526313,n1,n1,arrow
e4.427409396100386,n1,n1,arrow
e15.742587683664484,n1,n1,arrow
e10.129292173059095,n1,n1,arrow
e16.76255463831161,n1,n1,arrow
e10.302780874077218,n1,n1,arrow
e29.689721873512276,n1,n1,arrow
e12.046668905747575,n1,n1,arrow
e9.047754694493282,n1,n1,arrow
e30.295628354885118,n1,n1,arrow
e9.282145526021482,n1,n1,arrow
e32.33944262750675,n1,n1,arrow
e6.177763960590948,n1,n1,arrow
e29.366513182743294,n1,n1,arrow
e21.42638254490285,n1,n1,arrow
e34.83186945797818,n1,n1,arrow
e28.37449129477399,n1,n1,arrow
e11.461455803567285,n1,n1,arrow
e0.14984279142578738,n1,n1,arrow
e33.4044635818878,n1,n1,arrow
e25.96860113152461,n1,n1,arrow
e9.731090316505936,n1,n1,arrow
e5.024984841216053,n1,n1,arrow
e20.9404182046825,n1,n1,arrow
e11.907473135124462,n1,n1,arrow
e6.357124935852035,n1,n1,arrow
e22.715553992086047,n1,n1,arrow
e30.787107138356753,n1,n1,arrow
e3.421979756933838,n1,n1,arrow
e27.650097723650145,n1,n1,arrow
e11.181403368556397,n1,n1,arrow
e22.43904161005523,n1,n1,arrow
e3.7507058503231594,n1,n1,arrow
e12.531494405055497,n1,n1,arrow
e18.610213593020767,n1,n1,arrow
e24.176170174107693,n1,n1,arrow
e4.446910342447128,n1,n1,arrow
e0.5756340414814021,n1,n1,arrow
e23.831130083415278,n1,n1,arrow
e21.16735840079288,n1,n1,arrow
e16.177697533100552,n1,n1,arrow
e30.12848828645391,n1,n9,arrow
e4.872547895746265,n1,n1,arrow
e29.1639799945793,n1,n1,arrow
e10.366307755272508,n1,n1,arrow
e4.209427266109632,n1,n1,arrow
e2.176323549464668,n1,n1,arrow
e36.61187709623945,n1,n1,arrow
e10.780305180141724,n1,n1,arrow
e8.01859340288709,n1,n1,arrow
e35.17505207665818,n1,n1,arrow
e4.1841203546727295,n1,n1,arrow
e19.62617098620817,n1,n1,arrow
e20.999892616090523,n1,n1,arrow
e0.3217483797451768,n1,n1,arrow
e8.7665730083379,n1,n1,arrow
e23.68030364456492,n1,n1,arrow
e26.556250831935913,n1,n1,arrow
e22.60525576802282,n1,n1,arrow
e7.204052078644992,n1,n1,arrow
e7.815665865861686,n1,n1,arrow
e30.46746667116714,n1,n1,arrow
e28.557568701678658,n1,n1,arrow
e35.61571288581027,n1,n1,arrow
e4.497601828851551,n1,n1,arrow
e14.319408362300562,n1,n1,arrow
e28.762330681117614,n1,n1,arrow
e30.339109934883467,n1,n1,arrow
e13.230474374983038,n1,n1,arrow
e32.2669340261776,n1,n1,arrow
e23.397731145138916,n1,n1,arrow
e3.306744816263298,n1,n1,arrow
e21.833837802903066,n1,n1,arrow
e23.99302738813978,n1,n1,arrow
e16.074928583964216,n1,n1,arrow
